CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
55;ALTA;Aula Dei;Ctra. de Peñaflor 174, bajo;576439;0;Montañana;Zaragoza;Aula Dei;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MON0055-;-;-;;;;mon;doc;esq
56;ALTA;Servicio de Investigacion Agraria  Aula Dei (Laboratorio Agroambiental);Avda. de Montañana, 930;976716300;0;Montañana;Zaragoza;Servicio de Investigacion Agraria  Aula Dei (Laboratorio Agroambiental);ADMINISTRACIÓN;ZARAGOZA;;;;;;;MACROLAN;"50190001234174
720344156";100 Mb;;;;Instalada;ZAMON0056CIT;A;CIT;ES. REMOTO;24x7;"""ZAMON0056 - Servicio de Investigacion Agraria  Aula Dei (Laboratorio Agroambiental) [Montañana]""";mon;doc;esq
57;ALTA;Centro de Interpretacion Arguis (Med. Amb.);C/ Afueras;974272003;0;Arguis;Huesca;Residencia;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-ARG0057-;-;-;ES. REMOTO;12X5;;mon;doc;esq
58;ALTA;Albergue Juvenil;C/ Afueras 1;487045;0;El Pueyo de Jaca;Huesca;Albergue Juvenil;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-EL 0058-;-;-;;;;mon;doc;esq
59;ALTA;COMENA;C/ Afueras s/n;371495;0;Aragues Del Puerto;Huesca;Comena;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-ARA0059-;-;-;;;;mon;doc;esq
60;ALTA;Monasterio San Juan de la Peña-Medio Ambiente;C/ Afueras(Monasterio San Juan de la Peña);974361476 / 974348660;0;Santa Cruz de La Seros;Huesca;Monasterio San Juan de la Peña-Medio Ambiente;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-SAN0060-;-;-;ES. REMOTO;12X5;;mon;doc;esq
61;ALTA;Parque de Maquinaria Jaca;Calzada de Las Monjas;361880;0;Jaca;Huesca;Parque Maquinaria;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-JAC0061-;-;-;;;;mon;doc;esq
62;ALTA;Parque de Maquinaria Graus (Antiguo);C/ Angel Sanblancat 12, bajo;540546;0;Graus;Huesca;Parque Maquinaria;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-GRA0062-;-;-;;;;mon;doc;esq
63;ALTA;Parque de Maquinaria Fraga;Avda. de Aragon;974470976;649984976 Personal Joaquin Mariñosa.;Fraga;Huesca;Parque Maquinaria;ADMINISTRACIÓN;HUESCA;SDWAN;876545997 ;FTTH - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;HAFRA0063MAQ;A;MAQ;ES. REMOTO;12X5;"""HAFRA0063 - Parque Maquinaria [Fraga]""";mon;doc;esq
64;ALTA;Sede de la Junta Atencion de Menores;Avda. de los Danzantes de Huesca;222610;0;Huesca;Huesca;Sede de la Junta Atencion de Menores;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-HUE0064-;-;-;;;;mon;doc;esq
65;ALTA;Local Oficinas Museo;Avda. de los Pirineos 11, 11-D;0;0;Huesca;Huesca;Local Oficinas Museo;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-HUE0065-;-;-;;;;mon;doc;esq
66;ALTA;Biblioteca Publica Huesca;Avda. de los Pirineos 2;974293330;0;Huesca;Huesca;Biblioteca;ADMINISTRACIÓN;ZARAGOZA;FIBRA;22100001003720 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;HAHUE0066BIB;A;BIB;ESTANDAR;12X6;"""HAHUE0066 - Biblioteca [Huesca]""";mon;doc;esq
67;ALTA;Parque de Maquinaria Ainsa;Avda. de Ordesa;974500022;0;Ainsa;Huesca;Parque Maquinaria;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-AIN0067-;-;-;;;;mon;doc;esq
68;ALTA;Colegio Rural Agrupado (Antiguo);Avda. de Ordesa 1, bajo;486363;0;Broto;Huesca;Colegio Rural Agrupado (Antiguo);ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BRO0068-;-;-;;;;mon;doc;esq
69;ALTA;Agencia Comarcal;Avda. de Ordesa 40, 3-Izda;502292;0;Boltaña;Huesca;Agencia Comarcal;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-BOL0069-;-;-;;;;mon;doc;esq
70;ALTA;Oficina de Turismo de Jaca;Avda. de Regimiento de Galicia 2, Local;974360098;0;Jaca;Huesca;Oficina Turismo;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;H-JAC0070-;-;-;ES. REMOTO;12X5;;mon;doc;esq
71;ALTA;Subdir. Provincial Salud Publica HU;Avda. del Parque 30, bajo;974293200;0;Huesca;Huesca;Subdir. Prov. Salud Publica;ADMINISTRACIÓN;HUESCA;FIBRA;22100001003728 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;HAHUE0071DPS;A;DPS;ESTANDAR;12X5;"""HAHUE0071 - Subdir. Prov. Salud Publica [Huesca]""";mon;doc;esq
72;ALTA;OCA Binefar;C/ la Iglesia, 6-8;974431516;0;Binefar;Huesca;OCA;ADMINISTRACIÓN;HUESCA;gigADSL;-;-;;;;VPN IP (ADSL 2+);"22720003011077
974429608";20Mb;;;;Instalada;HABIN0072OCA;A;OCA;ES. REMOTO;12X5;"""HABIN0072 - OCA [Binefar]""";mon;doc;esq
